WELL_KEY,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,OIL_CUM_3MOS,OIL_CUM_6MOS,OIL_CUM_12MOS,GOR_30,GOR_60,GOR_90
05069064580000,9618,NULL,NULL,38495,79493,NULL,2583.871674148691,2447.725059134548,1814.785012791945
05069064630000,13041,NULL,NULL,55006,117246,NULL,2127.176462227275,2248.940777704547,2330.143410957790
05069064810000,6098,843.6445,1168.119,17241,42102,67358,1928.762610665019,1822.799534703373,1615.493674567398
05069064940000,6790,1558.096,803.7252,51783,90363,NULL,2513.196201021333,1296.444925894923,932.942385373113
05069064960000,6833,2739.352,1233.421,36536,59432,NULL,2246.662797446314,2319.968227655753,2463.477418697114
05069064990000,4052,NULL,NULL,18776,NULL,NULL,2027.605099568011,2265.096730329439,2265.096730329439
05123334240100,3508,834.5635,651.6735,6432,9899,14224,3074.136763710223,2367.579452328602,2355.721393034825
05123340180000,5760,1028.557,737.6824,16810,30987,45978,8246.068042387060,9041.069898396376,9394.613954753592
05123364680000,4175,956.1911,494.7355,12514,19007,26472,1888.914233576642,1812.696563774024,1530.525811091577
05123368950000,4060,817.6465,1145.247,14624,28997,51455,3564.345193035579,3460.986547085201,3673.415431712238
05123369150000,4091,525.7064,842.2236,15659,28156,38986,3558.145394985510,3335.775890020102,3382.284492994538
05123370010000,4632,822.2911,1165.348,2996,14613,29390,9287.212877554711,9711.016378730087,9854.523543083412
05123373010000,4047,304.4698,383.0915,11968,28876,52203,2532.416836388323,2402.721557144087,2134.622206456190
05123374670000,3989,998.5305,745.0073,21025,39500,56401,890.905991647489,954.473536467105,1005.986137366099
05123375000000,4800,843.1348,1233.692,29544,55207,83946,3784.751575085732,3804.923051117540,3859.607498535442
05123375010000,4499,540.7936,857.4955,21225,38514,59003,4059.637188208616,3743.981174198998,4040.305885335248
05123376200000,4049,NULL,NULL,1309,4201,8358,2611.954924056834,2781.120331950207,3241.355463347164
05123376360000,5298,NULL,NULL,30984,51285,74511,4371.106424399740,4573.369938229238,4909.798030378901
05123376650000,4153,96.54172,1305.366,10789,19039,28959,2940.556985724315,2637.916894477856,2864.073777064955
05123377440000,6254,1102.665,1028.681,6803,23479,38963,2712.188190716766,3136.325227678152,3226.045265458647
05123389680000,4008,NULL,NULL,18629,27850,37964,4239.031984149448,4605.696047139700,4900.934698289565
05123381660000,4117,922.4988,677.9643,12483,19855,27986,4943.931866572036,5341.897057516223,6479.453005692072
05123382550000,5392,NULL,NULL,NULL,NULL,NULL,2680.881452764741,2680.881452764741,2680.881452764741
05123388280000,6744,544.5949,860.4712,15490,32786,52808,4582.467532467532,4773.405986837449,5013.564921413554
05123370410000,4338,1261.704,518.9813,29336,51492,73834,2931.533903884134,3133.137443639495,3330.477038355961
05123380600000,7331,779.9945,779.9946,15825,27353,46844,1783.182765809589,1182.177506288178,1484.074404382723
05123380230000,4510,3047.867,2417.604,18339,40633,67616,2825.932897796478,2713.079693831607,2727.331189710610
05123386520000,5043,1031.455,809.0937,30275,41320,53644,1394.081096662609,1547.919143876337,1719.900908340214
05123378280000,3660,828.6699,784.5355,26281,35812,53400,1964.577656675749,1102.558874503007,1963.604852686308
05123381160000,3963,1066.779,814.8552,14181,25663,39593,7525.882517092228,7605.765391679310,7672.274325908558
05001097730000,4362,NULL,NULL,17048,24441,32856,2832.355154251316,3160.137075113457,3297.427652733118
05001099790000,5526,NULL,1443.144,NULL,NULL,NULL,1537.946428571428,1537.946428571428,1537.946428571428
05001100910000,5394,NULL,NULL,30982,40588,NULL,1804.405928565643,1876.108089589310,2050.448647601833
05005072100100,3767,3380.747,3066.687,39116,53315,78066,NULL,NULL,NULL
05005072100100,3767,3380.747,3066.687,39116,53315,78066,NULL,NULL,NULL
05123331840000,4255,NULL,NULL,5234,7651,11174,3247.303236116660,3476.586102719033,3580.817730225448
05123362810000,3977,NULL,NULL,16341,27270,36979,1780.627781681892,1675.569468496070,1713.457430576747
05123364380000,4885,1322.002,515.5515,25509,37819,54270,2032.038446135362,2048.656061437191,2169.038378611470
05123366480000,4728,1412.526,602.4454,3286,10374,29649,1812.306330234617,2080.449017773620,2187.425187425187
05123367400000,3954,NULL,NULL,11248,18315,26900,3308.574048601558,2762.579730687455,3162.784495021337
05123367730000,5880,1113.721,1046.376,15755,29598,41598,1715.724923346473,1754.789036033261,1602.013456771386
05123369450000,4078,NULL,NULL,13149,23093,37493,1127.823014287909,1070.502073590399,1109.397278029812
05123370250000,4470,908.9155,1179.238,17596,48254,81920,3397.180906260809,3467.779030439684,3658.229499641202
05123371100000,4241,556.3128,907.9096,16025,33346,53208,2563.958165728077,2947.375856466765,2528.110076126530
05123371910000,5706,792.9496,1139.229,13142,24416,42530,6159.548355424644,6599.702933531377,7002.910912537232
05123372980000,4066,905.8632,631.5,14019,19747,26088,1746.487119437939,1944.759334233018,1781.724802054354
05123372990000,4038,NULL,NULL,17974,25405,33603,1841.666666666666,1614.911831418745,1767.720040057861
05123373340000,4005,NULL,NULL,10688,21268,32358,11850.054328141977,12478.890807906351,13028.027136298225
05123374000100,4368,963.3162,858.1181,18299,32479,48780,4541.567695961995,3924.129114733141,3855.223740872495
05123374210000,4226,922.7794,602.8447,13306,23042,38467,1252.380331289943,1287.419078075033,1379.785050114720
05123375660000,4564,1037.29,645.1951,5470,17907,30973,4051.970400963689,4201.343588745010,4065.432468895218
05123376800000,4594,847.0497,1124.846,21987,50805,73608,2506.376195536663,2500.196710992210,2575.495547256535
05123376980000,3714,985.0351,737.8675,14664,14664,24596,4463.159133709981,2624.697168962414,2624.697168962414
05123390010000,5976,847.8235,1222.291,7825,21393,36648,10043.015075376884,9505.259768140832,10495.596477181745
05123382540000,3890,NULL,NULL,9917,NULL,NULL,2072.712808273667,2206.696428571428,2206.696428571428
05123395440000,9246,1259.753,1003.652,40916,81270,122490,3945.460591952111,3885.168585405864,4070.089056345264
05123390670000,4162,992.9388,570.5795,15963,25554,38409,2703.410689170182,2631.430516386268,2513.163604802545
05123394430000,4102,766.8926,490.4943,16935,23055,29771,2361.999496348526,2324.943781352707,2341.520385050962
05123381280000,4173,832.2614,886.9378,25168,35905,39130,1793.109684419929,1983.387504514265,2119.596312778130
05123386500000,5115,1212.477,729.3325,21994,34691,51431,2352.212795230451,2267.521473920079,2258.161316722742
05123377680000,4137,535.0669,842.6111,11569,20821,31838,4215.625000000000,4049.722577891591,4348.121286937736
05123380970000,5445,1103.9,821.0215,13755,29380,45218,5944.508140334785,6351.682552032678,6724.337585868498
05123365560000,4118,340.8893,441.0983,8046,14241,19882,12842.896174863387,11921.747681933127,12595.188284518828
05123379720000,3769,1186.618,1277.189,14487,26190,39936,2104.328686720469,2242.924333690898,2406.681277024225
05123377710000,4144,689.973,1072.739,18104,30175,42281,4031.860609831985,4261.058288548987,4493.253603189205
05123376670000,3798,450.8595,779.0742,17079,33778,56370,3097.911227154046,2902.551857931651,2999.169909208819
05123379940000,4255,1021.542,579.9448,16460,27117,40919,1868.107420943905,1788.440926704592,1907.411907654921
05123359790000,4012,955.8291,762.056,24556,39563,55756,4006.150978564771,4161.956692706967,4408.530463070806
05123361500000,6185,NULL,NULL,14878,21112,28774,2737.271984753607,2563.681056998002,2662.481862343069
05123383970000,9232,565.2475,856.2286,32082,70822,118623,2715.813979269441,2825.113428790289,3120.415132833636
05123383210000,4530,999.6659,737.8943,19530,31636,47883,5364.516129032258,5864.074180563542,6193.261079514969
05123389460000,4332,523.1312,847.5439,8529,14491,21764,5211.606955793002,5671.463135107602,5826.564215148188
05123385450000,7134,NULL,NULL,9613,20820,33280,1567.554709800190,1605.923125393824,1571.985784866083
05123385430000,6963,NULL,NULL,11615,24918,36855,2040.710437038515,2074.811331072951,2202.874743326488
05123367430000,4566,801.714,1035.463,25562,43178,74633,2247.971810210603,2247.771079222212,2196.743673090318
05123381920000,7235,850.0866,775.0761,25403,51230,81536,2147.056467761313,2098.287657369550,2068.739029500028
05123380300000,4899,511.0623,807.9275,2814,42324,81833,3319.583056110002,3256.140881263698,4730.557025168165
05123382940000,6990,1000.248,670.1418,49395,84738,131157,3120.322362488728,3236.012608353033,3308.997495898454
05123381860000,6703,1149,980.4489,20304,46164,84850,2686.684593168011,2688.222414583227,2854.841648748132
05123383010000,8717,NULL,NULL,33351,70079,NULL,2557.596123788683,2557.338406186675,2622.483652665543
05123389450000,4755,481.079,804.4996,18375,32148,49428,3609.770735806025,3902.874649631705,4190.416925948973
05123376750000,6012,1245.978,1122.901,12073,28072,48508,4035.060582624387,4150.432900432900,4317.008431352139
05123380050000,7125,725.8851,182.3492,23153,48067,78890,3389.129152742284,3509.956563434309,3827.647106044794
05123384490000,4018,1190.391,635.7649,8669,16907,26188,2547.461928934010,2833.381839348079,3009.524795527487
05123377940000,3775,669.2445,438.1602,19724,35793,52042,2243.551010922612,2086.641728007722,1960.937839836443
05123382000000,7169,1033.452,773.6184,13496,36458,58329,2684.594251901944,2874.408143939393,2906.018639491333
05123382720000,4003,NULL,NULL,15073,22818,32343,1999.672399672399,2225.954517003964,2027.035830618892
05123390270000,9341,973.2459,690.9227,16844,36521,59492,2848.895224518888,2660.690644307149,3122.480620155038
05123382620000,4050,768.2236,363.7158,15067,23033,31661,1316.357402178297,1218.898614652974,1263.256927813889
05123380020000,6948,1285.035,808.9489,26956,53550,79010,3187.378297043724,3145.909374165405,3291.922852889780
05001099960000,9675,NULL,NULL,9191,9191,70587,2111.645482652009,1233.459805548968,1170.388704505822
05001100980000,5234,NULL,NULL,32731,46902,NULL,1639.850175067176,1737.242273804731,1887.427278603749
05005072550100,7225,NULL,NULL,35231,69341,105741,1827.497301834752,1916.293786755305,1943.546654572362
05005072710100,7000,NULL,NULL,61300,101182,NULL,1210.591613200524,1326.921423658872,1542.377287853577
05069064600100,9605,NULL,NULL,34513,81791,NULL,2187.325079455433,2371.251127979192,1636.187162347770
05069064900000,9441,1515.632,889.1138,52359,100532,NULL,2176.751446148195,1176.380101724351,841.359974447244
05069064950000,6811,2765.52,1231.347,38182,63299,NULL,2301.553628252324,2411.827597728032,2550.804093567251
05123363430000,4644,478.6139,766.3981,7309,9872,15138,11758.237822349570,11711.960635881907,12197.017375838007
05123364710000,4170,912.9795,507.7821,20746,34837,46207,2064.453125000000,2163.648894179562,2376.184415217083
05123365300000,6294,2226.211,1333.245,16161,39199,69775,2556.517437546376,2359.583468922876,2138.803207896360
05123366490000,575,1345.1,364.0951,27887,61143,94576,1826.174256005736,1922.991456266043,2019.212683057906
05123367370000,4852,510.5991,806.3682,25100,43691,81866,2034.863305743666,1790.336205440108,1360.717442755710
05123368960000,4109,824.3123,1186.338,18406,33805,57264,3759.477495385489,3631.910484873601,3650.636960238239
05123369820000,6407,602.7175,554.9039,13567,30819,51760,1902.526045383188,1909.729566399758,1760.339676049693
05123370320000,4140,773.5699,1156.397,21612,50351,82901,3335.848437628147,3296.940045491609,3377.081945369753
05123373730000,4131,963.3923,599.3875,12782,21844,32903,1715.441435103763,1711.249600511345,1737.383368521419
05123374190000,3819,906.6074,662.6423,14037,23163,37375,1197.064300580567,1378.962320574162,1399.416388756550
05123374260000,4154,924.6956,571.4311,11998,21626,36871,956.748306409588,1115.969581749049,1249.390478634672
05123375690000,4183,975.6524,616.7952,5387,18366,33450,2680.553213020745,3166.430020283975,3115.179658952496
05123376640000,4051,597.94,1128.917,12192,23499,34932,2712.976166225300,2863.466608084358,2920.052525876718
05123376760000,4528,839.9645,1217.979,29056,42708,62562,2475.612838008592,1442.851531814611,2844.560094265514
05123377240000,3817,697.779,539.7469,22355,29422,41875,2154.152501214181,2567.356455843777,2874.927309326772
05123377300000,6250,1127.875,1079.116,31790,55214,78194,1258.899676375404,1407.298674821610,1485.614100998716
05123379710000,4040,NULL,NULL,12495,18165,24296,10807.782766730810,11098.318899643402,11429.078363725973
05123374990000,4089,1053.802,613.7204,16686,27499,40415,2780.101491619252,2783.686213289101,2398.597626752966
05123393770000,5198,478.7782,492.717,15999,36959,58541,2213.869827406945,2308.142840896167,2248.638399160850
05123390610000,8451,540.8519,758.9707,21505,64771,117157,2795.906398451703,2783.588069446505,2831.973125592514
05123381070000,6646,815.4522,1538.626,21828,45259,63105,3840.454585499074,3870.511323838431,4155.380024574337
05123367920000,4015,1310.107,1288.537,15930,37054,55932,3844.386212457165,3910.577796782297,4282.343175619589
05123390450000,4702,480.4705,801.7116,32246,64716,106741,2240.713113531254,2367.980412289708,2433.977992664221
05123392610000,6944,479.3109,944.8276,38382,62764,85555,1162.544636952784,1212.855755583775,1213.799779504692
05123391700100,4875,768.2964,532.9819,23229,34386,55290,876.931438776302,875.995550611790,752.756121853212
05123386310000,8966,545.0427,851.2127,18245,42386,70181,3192.953825477584,3424.196577629382,3492.395297575312
05123372110000,3853,923.4666,618.5748,9559,18400,30199,2330.008045052292,2508.501228501228,2445.105716523101
05123389730000,4354,1506.246,923.2768,24736,40769,58375,3240.420371867421,2872.748732295855,2872.145811615159
05123381970000,7236,876.2118,757.7131,23972,48396,56671,2137.736005988521,2075.614527515522,2103.575058288993
05123386470000,5237,928.7968,706.3651,18621,32414,50556,1928.341096381225,2252.061592352039,2264.647441061167
