CURRENTOPERATORNAME,WELL COUNT,CURRENTOPERATORCODE,CURRENTOPERATORCODE,OperatorShort,OperatorAlias,OperatorTicker,CompanyType,Merged,Notes
APACHE CORPORATION,30924,1305,1305,APACHE,APACHE,APA,PUBLIC,NO,
XTO ENERGY INCORPORATED,28391,209141,209141,XTO,EXXON,XOM,PUBLIC,YES,
HILCORP ENERGY COMPANY,26904,56087,56087,HILCORP,HILCORP,,PRIVATE,NO,
OCCIDENTAL PERMIAN LIMITED,24575,196299,196299,OXY,OXY,OXY,PUBLIC,NO,
CHEVRON U S A INCORPORATED,19731,6385,6385,CHEVRON,CHEVRON,CVX,PUBLIC,NO,
KERR-MCGEE OIL & GAS ONSHORE LP,19095,220745,220745,KERR-MCGEE,ANADARKO,APC,PUBLIC,YES,
EOG RESOURCES INCORPORATED,18679,194766,194766,EOG,EOG,EOG,PUBLIC,NO,
PIONEER NATURAL RESOURCES USA INC,18656,135647,135647,PIONEER,PIONEER,PXD,PUBLIC,YES,
NOBLE ENERGY INCORPORATED,14576,84659,84659,NOBLE,NOBLE,NBL,PUBLIC,NO,
DEVON ENERGY PRODUCTION COMPANY L P,13851,195455,195455,DEVON,DEVON,DVN,PUBLIC,NO,
CONOCOPHILLIPS COMPANY,13132,212844,212844,CONOCOPHILLIPS,CONOCOPHILLIPS,COP,PUBLIC,YES,
BP AMERICA PRODUCTION COMPANY,12980,210133,210133,BP,BP,BP,PUBLIC,NO,
ENERVEST OPERATING LLC,12368,131568,131568,ENERVEST,ENERVEST,,PRIVATE,NO,
BURLINGTON RESOURCES O&G CO LP,11002,209145,209145,BURLINGTON,CONOCOPHILLIPS,COP,PUBLIC,YES,
CITATION OIL & GAS CORPORATION,10809,6591,6591,CITATION,CITATION,,PRIVATE,NO,
CHESAPEAKE OPERATING INCORPORATED,10718,6365,6365,CHESAPEAKE,CHESAPEAKE,CHK,PUBLIC,NO,
ENDEAVOR ENERGY RESOURCES LIMITED PRTS,10417,205960,205960,ENDEAVOR,ENDEAVOR,,PRIVATE,NO,
COG OPERATING LIMITED LIABILITY CORP,10251,216044,216044,COG,CONCHO,CXO,PUBLIC,NO,
OXY USA INC,9963,25158,25158,OXY,OXY,OXY,PUBLIC,NO,
DENBURY ONSHORE LLC,9942,214762,214762,DENBURY,DENBURY,,PRIVATE,NO,
MERIT ENERGY COMPANY,9699,84073,84073,MERIT,MERIT,,PRIVATE,NO,
HUMBLE OIL & REFINING COMPANY,9618,16026,16026,HUMBLE,EXXON,XOM,PUBLIC,YES,
ANADARKO E & P ONSHORE LLC,9574,246216,246216,ANADARKO,ANADARKO,APC,PUBLIC,YES,
SHERIDAN PRODUCTION COMPANY LLC,9210,226611,226611,SHERIDAN,SHERIDAN,,PRIVATE,NO,
OXY USA WTP LP,8909,208733,208733,OXY,OXY,OXY,PUBLIC,NO,
GULF OIL CORPORATION,8489,68329,68329,GULF,CHEVRON,CVX,PUBLIC,YES,
KINDER MORGAN PRODUCTION COMPANY LLC,8147,226492,226492,KINDER,KM,KMI,PUBLIC,NO,
ENERGEN RESOURCES CORPORATION,8003,171270,171270,ENERGEN,ENERGEN,EGN,PUBLIC,NO,
EXXON CORPORATION,7558,11016,11016,EXXON,EXXONMOBIL,XOM,PUBLIC,YES,
VANGUARD OPERATING LLC,7203,261384,261384,VANGUARD,VANGUARD,,PRIVATE,NO,
TEXACO INCORPORATED,6831,33095,33095,TEXACO,CHEVRON,CVX,PUBLIC,YES,
FOUR CORNERS PETROLEUM II LLC,6807,271421,271421,FOUR,FOUR CORNERS,,PRIVATE,NO,
CARBON CREEK ENERGY LLC,6469,267360,267360,CARBON,CARBON CREEK,,PRIVATE,NO,
AMOCO PRODUCTION COMPANY,6465,1085,1085,AMOCO,BP,BP,PUBLIC,YES,
MAGNOLIA PETROLEUM COMPANY,6460,21031,21031,MAGNOLIA,MAGNOLIA,MAGP,PUBLIC,NO,
NEWFIELD PRODUCTION COMPANY,6205,216193,216193,NEWFIELD,NEWFIELD,NFX,PUBLIC,NO,
PHILLIPS PETROLEUM COMPANY,6108,26370,26370,PHILLIPS,PHILLIPS,PSX,PUBLIC,YES,
SINCLAIR OIL & GAS COMPANY,6032,66731,66731,SINCLAIR,SINCLAIR,,PRIVATE,NO,
