"API","LATERAL_LENGTH_BLEND","PROP_PER_FOOT","WATER_PER_FOOT","OIL_CUM_3MOS","OIL_CUM_6MOS","OIL_CUM_12MOS","GOR_30","GOR_60","GOR_90","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","formation_alias","operator_alias","OIL_CUM_3MOS_NEIGH","OIL_CUM_6MOS_NEIGH","OIL_CUM_12MOS_NEIGH","case","neighbors_count","GOR_30_NEIGH","GOR_60_NEIGH","GOR_90_NEIGH","WATER_PER_FOOT_NEIGH","PROP_PER_FOOT_NEIGH","neigh_count","my_qi","my_di","my_b","my_EUR","p10rawcurve_seg1","p10rawcurve_seg2","p10rawcurve_seg3","p10rawcurve_seg4","p50rawcurve_seg1","p50rawcurve_seg2","p50rawcurve_seg3","p50rawcurve_seg4","p90rawcurve_seg1","p90rawcurve_seg2","p90rawcurve_seg3","p90rawcurve_seg4","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","my_rawcurve_seg1","my_rawcurve_seg2","my_rawcurve_seg3","my_rawcurve_seg4"
"05123330230000",3586,883.4519,530.5713,36530,59159,85618,1060.75418994413,1053.99417647803,1079.91264208071,"DENVER BASIN","COLORADO","WELD",40.759280016,-103.877939983,40.75686,-103.86178,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",20972.5151515152,37704.2727272727,57897.1515151515,3,33,1197.48778349341,1268.0059657908,1273.62671025889,560.795751515152,772.132748484849,33,12446.0442456734,0.977142304611512,1.1,6909.88481892776,5059.52666666667,2556.66666666667,1934.01333333333,4816.23333333333,2533.36666666667,1140.86666666667,705.85,1955.68333333333,1188.18,362.206666666667,56.1233333333333,455.416666666667,12980,8698,7336,6595,6024,4892,4282,3912,3752,3597,3097,2576,87574,26322,21364,44662
"05123335630000",3850,741.6495,672.9295,22673,48581,75019,904.567634589232,824.22024594698,856.716323095003,"DENVER BASIN","COLORADO","WELD",40.715623816,-103.860418099,40.72763,-103.86144,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",28750,45464.7,64840,6,10,1028.55299333751,1032.55381890179,1035.80352841644,541.6545,727.20661,5,11082.3097976993,0.980735543476063,1.1,5949.20375574271,5321.96,2278.45333333333,894.806666666667,3475.34,3790.5,1252.36666666667,416.866666666667,1804.56666666667,2018.17333333333,453.033333333333,88.42,597.033333333333,11000,7982,6926,5922,5154,4240,4110,4014,2998,3446,3289,1759,71803,27207,5072,27866
"05123335640000",3770,866.1144,564.8007,37875,69022,106529,801.474255944133,826.460368452107,852.741565353254,"DENVER BASIN","COLORADO","WELD",40.75729308,-103.849476491,40.74593,-103.85032,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",20636.6060606061,36922.7272727273,56870.3939393939,3,33,1152.61473357502,1214.9827098291,1223.89581887296,582.970478787879,788.175745454545,31,18263.1421293675,0.992866450072785,1.1,8278.28393471759,4624.32333333333,2514.2,1724.82333333333,3986.65666666667,2519.01666666667,1053.85,615.183333333333,1565.81666666667,1245.36,268.73,68.0033333333333,325.303333333333,18043,12463,10456,8228,8021,7011,5973,6077,5323,5102,5254,3985,86697,36900,10294,41944
"05123362240000",4829,1160.061,1603.198,19557,41345,73756,2787.37665239248,3656.41720767639,3363.40799665062,"DENVER BASIN","COLORADO","WELD",40.117491085,-104.711306522,40.13149,-104.71119,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",21789.6333333333,37929.0666666667,55774.5,3,30,2984.90496778832,3289.94942173095,3408.18575466074,903.54638,630.464386666667,30,8639.32174178624,0.908960035398647,1.1,6722.68896834656,15198.56,9897.45,7037.84333333333,16146.09,12330.3333333333,7456.9,4917.75,11699.5833333333,8997.35333333333,1252.84666666667,890.516666666667,2022.47333333333,8645,6498,6642,5697,5205,4438,3931,4072,3590,3478,3060,2889,63047,26043,17580,44606
"05123352730000",4226,899.1354,625.8964,22215,33815,46447,4002.76518084283,4514.63770035766,5076.13440259872,"DENVER BASIN","COLORADO","WELD",40.397196082,-104.479270003,40.39556,-104.49579,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",19310.5294117647,30830.4705882353,43079.2352941177,3,17,4300.79736954492,4139.86521363499,4259.34225536789,746.796311764706,1015.56457647059,17,9106.94553763392,0.998134995502309,1.1,3426.20220404075,17047.16,10136.5533333333,6049.99666666667,17168.06,11389.3,5735.53333333333,3849.98333333333,10001.65,3609.95333333333,1549.62,1383.55666666667,3059.59333333333,9041,6057,4604,3867,3129,2895,2156,2455,1961,1682,1483,1386,47262,13097,10189,23117
"05123359730000",4143,572.9957,733.605,11601,21999,34656,4082.78976417461,3743.55042395815,4182.60987889509,"DENVER BASIN","COLORADO","WELD",40.201081903,-104.774934851,40.19019,-104.77462,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",19222.1632653061,34220.6734693878,53304.4897959184,3,49,4200.94189127055,4228.55765786263,4386.17766569504,781.754302040816,566.679328571429,49,4713.97343954685,0.87535120375877,1.1,4057.38268042988,15072.7066666667,9037.51333333334,6596.81333333334,16451.98,10309.5,5317.2,4251.76666666667,10088.5333333333,7373.65333333333,3450.7,2758.28,6577.89333333333,5107,3612,3750,3036,2558,2679,1999,1848,1681,1892,1777,1582,37703,17765,11379,29755
"05123349200000",4019,1028.307,695.4332,10369,19313,28468,1698.22979291917,3114.72945891784,2493.6830938374,"DENVER BASIN","COLORADO","WELD",40.570350037,-104.525139949,40.56807,-104.50861,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",15612.3636363636,27369.9090909091,43614.4545454545,3,11,1875.51397084828,2052.38570001869,1993.2406382533,658.768572727273,990.723363636364,11,4241.45850429615,0.936462555174538,1.1,2969.8371228921,6680.5,4290.73333333333,2037.10666666667,6401.92,4459.13333333333,1756.86666666667,525.316666666667,2322.58333333333,1377.33333333333,496.466666666667,214.106666666667,742.6,4381,3600,2983,2361,2534,1618,2151,1609,802,441,114,880,27968,13429,13071,27323
"05123359740000",4118,440.0287,769.9128,17667,34389,54046,3651.32543711224,3122.99310264881,3499.30440831232,"DENVER BASIN","COLORADO","WELD",40.201164203,-104.774939051,40.1902,-104.77271,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",18908.0208333333,33697.6666666667,52545.7083333333,3,48,4229.76973247788,4260.51221468889,4420.80226476069,780.958977083333,571.487133333333,48,8112.67212808405,0.943250811848245,1.1,5527.23465309824,15041.91,8955.78,6620.85666666667,16367.4766666667,10165.8166666667,5279.88333333333,4200.3,9995.6,7221.88,3445.86666666667,2743.89333333333,6546.61666666667,8388,5749,6003,4970,4239,3927,3260,2780,3024,2427,2549,2495,58304,21787,15348,37944
"05123349130000",4057,334.4234,541.9534,16741,26308,39029,3893.54887906055,4149.9955144882,4296.79676246656,"DENVER BASIN","COLORADO","WELD",40.176181616,-104.789634673,40.18741,-104.78682,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","ANADARKO",24272.7272727273,38747.7272727273,57656.3636363636,2,11,3366.34855078216,3504.63962647157,3678.67726473015,767.526609090909,539.555454545454,11,6311.08552051208,0.976217722614673,1.1,3524.32111842412,12169.6,6708.06666666667,5309.23333333333,11863.4333333333,9463.3,4481.06666666667,3670.23333333333,8052.03333333333,7620.1,3564.46666666667,2619.1,6044.06666666667,6557,4590,3432,3447,2688,2843,2311,2196,1983,1558,1830,1534,41516,14827,8842,22893
"05123356470000",4125,1009.45,806.3933,20031,29875,50702,2102.5374964626,2102.5374964626,2011.64230864503,"DENVER BASIN","COLORADO","WELD",40.48306995,-104.374640002,40.48618,-104.35721,"SIXTH PRINCIPAL MERIDIAN 1855","NIOBRARA","NOBLE",19312.55,31017.95,47829.45,2,20,2238.40597608042,2292.96953736685,2319.57576014681,750.31667,965.048205,20,7658.75176669653,0.962317871860267,1.1,4723.65887347068,7491.22,4268.41666666667,2868.06333333333,7638.27,5566.73333333333,2938.91666666667,1914.36666666667,5212.45,3483.17333333333,1742.01333333333,743.236666666667,2752.92333333333,10601,0,5547,4297,4354,3907,2826,3440,3265,3035,1766,2496,53052,20499,11809,30968
