"API","formation","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","OPERATOR","formation_alias","operator_alias"
"33053065810000","BAKKEN","WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.993117404,-102.637214361,"48.02273","-102.63946","FIFTH PRINCIPAL MERIDIAN 1815","BRUIN E&P OPERATING LLC","BAKKEN","BRUIN E&P OPERATING LLC"
"33053065820000","THREE FORKS","WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.993117501,-102.637091858,"48.02273","-102.63795","FIFTH PRINCIPAL MERIDIAN 1815","BRUIN E&P OPERATING LLC","THREE FORKS","BRUIN E&P OPERATING LLC"
"33053068000000","BAKKEN","WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.774326406,-102.789772943,"47.74687","-102.7879","FIFTH PRINCIPAL MERIDIAN 1815","QEP ENERGY COMPANY","BAKKEN","QEP"
"33053067990000","THREE FORKS","WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.774303408,-102.789866643,"47.74687","-102.78877","FIFTH PRINCIPAL MERIDIAN 1815","QEP ENERGY COMPANY","THREE FORKS","QEP"
"33053067170000","BAKKEN","WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.774283109,-102.789964442,"47.80322","-102.78583","FIFTH PRINCIPAL MERIDIAN 1815","QEP ENERGY COMPANY","BAKKEN","QEP"
"33053067200000","THREE FORKS","WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.774216813,-102.790257741,"47.80324","-102.78885","FIFTH PRINCIPAL MERIDIAN 1815","QEP ENERGY COMPANY","THREE FORKS","QEP"
"33053067180000","BAKKEN","WILLISTON BASIN","NORTH DAKOTA","MCKENZIE",47.77426011,-102.790062142,"47.80322","-102.78688","FIFTH PRINCIPAL MERIDIAN 1815","QEP ENERGY COMPANY","BAKKEN","QEP"
"35047250190000","MISSISSIPPIAN","ANADARKO BASIN","OKLAHOMA","GARFIELD",36.578755959,-98.031237938,"36.59304","-98.03554","INDIAN 1870","SANDRIDGE EXPLORATION & PRODUCTION LLC","MISSISSIPPIAN","SANDRIDGE"
"35047250260000","MISSISSIPPIAN","ANADARKO BASIN","OKLAHOMA","GARFIELD",36.578756559,-98.031169836,"36.59307","-98.02813","INDIAN 1870","SANDRIDGE EXPLORATION & PRODUCTION LLC","MISSISSIPPIAN","SANDRIDGE"
"35093250080100","CHESTER LIME","ANADARKO BASIN","OKLAHOMA","MAJOR",36.346815967,-98.779666432,"36.33338","-98.77948","INDIAN 1870","SANDRIDGE EXPLORATION & PRODUCTION LLC","CHESTER LIME","SANDRIDGE"
