"API","formation","BasinName","StateName","CountyName","LatWGS84","LonWGS84","BottomHoleLatitude","BottomHoleLongitude","CongMeridianName","OPERATOR","formation_alias","operator_alias"
"35129236340000","GRANITE WASH / DES MOINES","ANADARKO BASIN","OKLAHOMA","ROGER MILLS",35.466419719,-99.957732837,"35.47944","-99.9578","INDIAN 1870","APACHE CORPORATION","GRANITE WASH / DES MOINES","APACHE"
"35045230120000","CLEVELAND","ANADARKO BASIN","OKLAHOMA","ELLIS",36.175438741,-99.683495491,"36.18617","-99.68287","INDIAN 1870","WALKER KEITH F OIL & GAS COMPANY LLC","CLEVELAND","WALKER KEITH F OIL & GAS COMPANY LLC"
"35017241570000","WOODFORD","ANADARKO BASIN","OKLAHOMA","CANADIAN",35.665923037,-98.261153864,"35.68179","-98.26101","INDIAN 1870","CIMAREX ENERGY COMPANY","WOODFORD","CIMAREX"
"35045228730000","CLEVELAND","ANADARKO BASIN","OKLAHOMA","ELLIS",36.21797061,-99.801382442,"36.20354","-99.80071","INDIAN 1870","UNIT PETROLEUM COMPANY","CLEVELAND","UNIT"
"49021207420000","NIOBRARA","DENVER BASIN","WYOMING","LARAMIE",41.60945979,-104.929934766,"41.59778","-104.92442","SIXTH PRINCIPAL MERIDIAN 1855","NANKE ENERGY LLC","NIOBRARA","NANKE ENERGY LLC"
"30015400250100","WOLFCAMP","PERMIAN BASIN","NEW MEXICO","EDDY",32.649593465,-104.104526237,"32.64906","-104.09003","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","WOLFCAMP","DEVON"
"25083229390000","BAKKEN","WILLISTON BASIN","MONTANA","RICHLAND",48.026456474,-104.215652856,"48.05523","-104.21444","MONTANA 1867 (PRINCIPAL 1867)","OASIS PETROLEUM NORTH AMERICA LLC","BAKKEN","OASIS"
"30015409840000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.137747246,-104.128616028,"32.15084","-104.12818","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30015415210000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.092693479,-104.111269128,"32.07968","-104.11083","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30025399770100","DRINKARD","PERMIAN BASIN","NEW MEXICO","LEA",32.900830592,-103.116657835,"32.90072","-103.10138","NEW MEXICO 1855","TEXLAND PETROLEUM INCORPORATED","DRINKARD","TEXLAND PETROLEUM INCORPORATED"
"30015382380100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.666347028,-103.900799409,"32.66631","-103.88358","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015374950000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.139168638,-104.168659374,"32.13897","-104.15329","NEW MEXICO 1855","EOG Y RESOURCES INC","BONE SPRING","EOG"
"30015389840000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.70179128,-103.953360803,"32.70162","-103.9669","NEW MEXICO 1855","MEWBOURNE OIL COMPANY","BONE SPRING","MEWBOURNE"
"30015414290000","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.151346934,-104.124312923,"32.13817","-104.12498","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30015393280100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.625412811,-104.074507721,"32.63803","-104.07363","NEW MEXICO 1855","DEVON ENERGY PRODUCTION COMPANY L P","BONE SPRING","DEVON"
"30015382950100","BONE SPRING","PERMIAN BASIN","NEW MEXICO","EDDY",32.610436508,-103.890290263,"32.62297","-103.88997","NEW MEXICO 1855","COG OPERATING LIMITED LIABILITY CORP","BONE SPRING","CONCHO"
"30025404850000","BONE SPRING UPPER","PERMIAN BASIN","NEW MEXICO","LEA",32.180236814,-103.513177111,"32.16","-103.51239","NEW MEXICO 1855","EOG RESOURCES INCORPORATED","BONE SPRING UPPER","EOG"
